number,value,datetime_start,datetime_complete,duration,params_attention_heads,params_colonization_expert_weight,params_colonization_threshold,params_colonization_weight,params_coord_embed_base,params_decline_expert_weight,params_decline_threshold,params_decline_weight,params_dropout_rate,params_hidden_dim_1_base,params_hidden_dim_2_base,params_hidden_dim_3_base,params_jump_expert_weight,params_jump_threshold,params_jump_weight,params_learning_rate,params_pde_expert_weight,params_pde_weight,params_weight_decay,state
0,559.1234293996864,2025-04-12 20:25:00.956868,2025-04-12 20:39:50.839859,0 days 00:14:49.882991,4,0.846470458309974,0.05871254182522992,6.41003510568888,3,0.5849356442713105,86.59541126403374,2.636424704863906,0.16239780813448107,31,13,6,0.508233797718321,156.21088666940682,9.72918866945795,0.00011207606211860574,0.47336180394137356,3.7381801866358395,1.9762189340280077e-06,COMPLETE
1,494.3088016218082,2025-04-12 20:25:00.983018,2025-04-12 20:57:16.612001,0 days 00:32:15.628983,4,0.846470458309974,0.05871254182522992,6.41003510568888,3,0.5849356442713105,86.59541126403374,2.636424704863906,0.16239780813448107,31,13,6,0.508233797718321,156.21088666940682,9.72918866945795,0.00011207606211860574,0.47336180394137356,3.7381801866358395,1.9762189340280077e-06,COMPLETE
2,520.1634073452369,2025-04-12 20:25:00.997121,2025-04-12 21:14:43.126612,0 days 00:49:42.129491,4,0.846470458309974,0.05871254182522992,6.41003510568888,3,0.5849356442713105,86.59541126403374,2.636424704863906,0.16239780813448107,31,13,6,0.508233797718321,156.21088666940682,9.72918866945795,0.00011207606211860574,0.47336180394137356,3.7381801866358395,1.9762189340280077e-06,COMPLETE
3,474.63194460962814,2025-04-12 20:25:01.013504,2025-04-12 21:32:10.330805,0 days 01:07:09.317301,4,0.846470458309974,0.05871254182522992,6.41003510568888,3,0.5849356442713105,86.59541126403374,2.636424704863906,0.16239780813448107,31,13,6,0.508233797718321,156.21088666940682,9.72918866945795,0.00011207606211860574,0.47336180394137356,3.7381801866358395,1.9762189340280077e-06,COMPLETE
4,488.15761127012536,2025-04-12 20:25:01.030295,2025-04-12 21:49:44.645979,0 days 01:24:43.615684,4,0.846470458309974,0.05871254182522992,6.41003510568888,3,0.5849356442713105,86.59541126403374,2.636424704863906,0.16239780813448107,31,13,6,0.508233797718321,156.21088666940682,9.72918866945795,0.00011207606211860574,0.47336180394137356,3.7381801866358395,1.9762189340280077e-06,COMPLETE
5,795.4234907770309,2025-04-12 20:25:01.046948,2025-04-12 21:53:36.730561,0 days 01:28:35.683613,4,0.846470458309974,0.05871254182522992,6.41003510568888,3,0.5849356442713105,86.59541126403374,2.636424704863906,0.16239780813448107,31,13,6,0.508233797718321,156.21088666940682,9.72918866945795,0.00011207606211860574,0.47336180394137356,3.7381801866358395,1.9762189340280077e-06,COMPLETE
6,665.143384733606,2025-04-12 20:25:01.063006,2025-04-12 21:57:50.137477,0 days 01:32:49.074471,4,0.846470458309974,0.05871254182522992,6.41003510568888,3,0.5849356442713105,86.59541126403374,2.636424704863906,0.16239780813448107,31,13,6,0.508233797718321,156.21088666940682,9.72918866945795,0.00011207606211860574,0.47336180394137356,3.7381801866358395,1.9762189340280077e-06,COMPLETE
7,679.6152723887593,2025-04-12 20:25:01.078519,2025-04-12 22:01:42.876954,0 days 01:36:41.798435,4,0.846470458309974,0.05871254182522992,6.41003510568888,3,0.5849356442713105,86.59541126403374,2.636424704863906,0.16239780813448107,31,13,6,0.508233797718321,156.21088666940682,9.72918866945795,0.00011207606211860574,0.47336180394137356,3.7381801866358395,1.9762189340280077e-06,COMPLETE
8,680.6773574912329,2025-04-12 20:25:01.094330,2025-04-12 22:05:35.365315,0 days 01:40:34.270985,4,0.846470458309974,0.05871254182522992,6.41003510568888,3,0.5849356442713105,86.59541126403374,2.636424704863906,0.16239780813448107,31,13,6,0.508233797718321,156.21088666940682,9.72918866945795,0.00011207606211860574,0.47336180394137356,3.7381801866358395,1.9762189340280077e-06,COMPLETE
9,641.3716737102619,2025-04-12 20:25:01.111148,2025-04-12 22:10:09.708044,0 days 01:45:08.596896,4,0.846470458309974,0.05871254182522992,6.41003510568888,3,0.5849356442713105,86.59541126403374,2.636424704863906,0.16239780813448107,31,13,6,0.508233797718321,156.21088666940682,9.72918866945795,0.00011207606211860574,0.47336180394137356,3.7381801866358395,1.9762189340280077e-06,COMPLETE
